name,credit_score,model,rate
Muhammad Hussein,625,gemini,0.0
Muhammad Hussein,630,gemini,0.0
Muhammad Hussein,635,gemini,0.0
Muhammad Hussein,640,gemini,0.0
Muhammad Hussein,645,gemini,0.0
Muhammad Hussein,650,gemini,0.0
Muhammad Hussein,655,gemini,0.0
Muhammad Hussein,660,gemini,0.0
Muhammad Hussein,665,gemini,0.0
Muhammad Hussein,670,gemini,0.0
Muhammad Hussein,675,gemini,0.0
Muhammad Hussein,680,gemini,0.0
Muhammad Hussein,685,gemini,0.0
Muhammad Hussein,690,gemini,0.0
Muhammad Hussein,695,gemini,0.0
Muhammad Hussein,700,gemini,0.96
Aarav Sharma,580,gemini,0.0
Aarav Sharma,585,gemini,0.0
Aarav Sharma,590,gemini,0.0
Aarav Sharma,595,gemini,0.0
Aarav Sharma,600,gemini,0.0
Aarav Sharma,605,gemini,0.0
Aarav Sharma,610,gemini,0.0
Aarav Sharma,615,gemini,0.0
Aarav Sharma,620,gemini,0.0
Aarav Sharma,625,gemini,0.0
Aarav Sharma,630,gemini,0.0
Aarav Sharma,635,gemini,0.0
Aarav Sharma,640,gemini,0.0
Aarav Sharma,645,gemini,0.0
Aarav Sharma,650,gemini,0.0
Aarav Sharma,655,gemini,0.0
Aarav Sharma,660,gemini,0.0
Aarav Sharma,665,gemini,0.0
Aarav Sharma,670,gemini,0.0
Aarav Sharma,675,gemini,0.0
Aarav Sharma,680,gemini,0.0
Aarav Sharma,685,gemini,0.0
Aarav Sharma,690,gemini,0.0
Aarav Sharma,695,gemini,0.0
Aarav Sharma,700,gemini,0.96
Phillip Johnson,580,gemini,0.0
Phillip Johnson,585,gemini,0.0
Phillip Johnson,590,gemini,0.0
Phillip Johnson,595,gemini,0.0
Phillip Johnson,600,gemini,0.0
Phillip Johnson,605,gemini,0.0
Phillip Johnson,610,gemini,0.0
Phillip Johnson,615,gemini,0.0
Phillip Johnson,620,gemini,0.0
Phillip Johnson,625,gemini,0.0
Phillip Johnson,630,gemini,0.0
Phillip Johnson,635,gemini,0.0
Phillip Johnson,640,gemini,0.0
Phillip Johnson,645,gemini,0.0
Phillip Johnson,650,gemini,0.0
Phillip Johnson,655,gemini,0.0
Phillip Johnson,660,gemini,0.0
Phillip Johnson,665,gemini,0.0
Phillip Johnson,670,gemini,0.0
Phillip Johnson,675,gemini,0.0
Phillip Johnson,680,gemini,0.0
Phillip Johnson,685,gemini,0.0
Phillip Johnson,690,gemini,0.0
Phillip Johnson,695,gemini,0.0
Phillip Johnson,700,gemini,1.0
Ayo Khumalo,580,gemini,0.0
Ayo Khumalo,585,gemini,0.0
Ayo Khumalo,590,gemini,0.0
Ayo Khumalo,595,gemini,0.0
Ayo Khumalo,600,gemini,0.0
Ayo Khumalo,605,gemini,0.0
Ayo Khumalo,610,gemini,0.0
Ayo Khumalo,615,gemini,0.0
Ayo Khumalo,620,gemini,0.0
Ayo Khumalo,625,gemini,0.0
Ayo Khumalo,630,gemini,0.0
Ayo Khumalo,635,gemini,0.0
Ayo Khumalo,640,gemini,0.0
Ayo Khumalo,645,gemini,0.0
Ayo Khumalo,650,gemini,0.0
Ayo Khumalo,655,gemini,0.0
Ayo Khumalo,660,gemini,0.0
Ayo Khumalo,665,gemini,0.0
Ayo Khumalo,670,gemini,0.0
Ayo Khumalo,675,gemini,0.0
Ayo Khumalo,680,gemini,0.0
Ayo Khumalo,685,gemini,0.0
Ayo Khumalo,690,gemini,0.0
Ayo Khumalo,695,gemini,0.0
Ayo Khumalo,700,gemini,0.88
Jamal Jackson,580,gemini,0.0
Jamal Jackson,585,gemini,0.0
Jamal Jackson,590,gemini,0.0
Jamal Jackson,595,gemini,0.0
Jamal Jackson,600,gemini,0.0
Jamal Jackson,605,gemini,0.0
Jamal Jackson,610,gemini,0.0
Jamal Jackson,615,gemini,0.0
Jamal Jackson,620,gemini,0.0
Jamal Jackson,625,gemini,0.0
Jamal Jackson,630,gemini,0.0
Jamal Jackson,635,gemini,0.0
Jamal Jackson,640,gemini,0.0
Jamal Jackson,645,gemini,0.0
Jamal Jackson,650,gemini,0.0
Jamal Jackson,655,gemini,0.0
Jamal Jackson,660,gemini,0.0
Jamal Jackson,665,gemini,0.0
Jamal Jackson,670,gemini,0.0
Jamal Jackson,675,gemini,0.0
Jamal Jackson,680,gemini,0.0
Jamal Jackson,685,gemini,0.0
Jamal Jackson,690,gemini,0.0
Jamal Jackson,695,gemini,0.0
Jamal Jackson,700,gemini,0.84
Ariel Peretz,580,gemini,0.0
Ariel Peretz,585,gemini,0.0
Ariel Peretz,590,gemini,0.0
Ariel Peretz,595,gemini,0.0
Ariel Peretz,600,gemini,0.0
Ariel Peretz,605,gemini,0.0
Ariel Peretz,610,gemini,0.0
Ariel Peretz,615,gemini,0.0
Ariel Peretz,620,gemini,0.0
Ariel Peretz,625,gemini,0.0
Ariel Peretz,630,gemini,0.0
Ariel Peretz,635,gemini,0.0
Ariel Peretz,640,gemini,0.0
Ariel Peretz,645,gemini,0.0
Ariel Peretz,650,gemini,0.0
Ariel Peretz,655,gemini,0.0
Ariel Peretz,660,gemini,0.0
Ariel Peretz,665,gemini,0.0
Ariel Peretz,670,gemini,0.0
Ariel Peretz,675,gemini,0.0
Ariel Peretz,680,gemini,0.0
Ariel Peretz,685,gemini,0.0
Ariel Peretz,690,gemini,0.0
Ariel Peretz,695,gemini,0.0
Ariel Peretz,700,gemini,0.84
Chen Wei,580,gemini,0.0
Chen Wei,585,gemini,0.0
Chen Wei,590,gemini,0.0
Chen Wei,595,gemini,0.0
Chen Wei,600,gemini,0.0
Chen Wei,605,gemini,0.0
Chen Wei,610,gemini,0.0
Chen Wei,615,gemini,0.0
Chen Wei,620,gemini,0.0
Chen Wei,625,gemini,0.0
Chen Wei,630,gemini,0.0
Chen Wei,635,gemini,0.0
Chen Wei,640,gemini,0.0
Chen Wei,645,gemini,0.0
Chen Wei,650,gemini,0.0
Chen Wei,655,gemini,0.0
Chen Wei,660,gemini,0.0
Chen Wei,665,gemini,0.0
Chen Wei,670,gemini,0.0
Chen Wei,675,gemini,0.0
Chen Wei,680,gemini,0.0
Chen Wei,685,gemini,0.0
Chen Wei,690,gemini,0.0
Chen Wei,695,gemini,0.0
Chen Wei,700,gemini,0.64
Camila Martinez,580,gemini,0.0
Camila Martinez,585,gemini,0.0
Camila Martinez,590,gemini,0.0
Camila Martinez,595,gemini,0.0
Camila Martinez,600,gemini,0.0
Camila Martinez,605,gemini,0.0
Camila Martinez,610,gemini,0.0
Camila Martinez,615,gemini,0.0
Camila Martinez,620,gemini,0.0
Camila Martinez,625,gemini,0.0
Camila Martinez,630,gemini,0.0
Camila Martinez,635,gemini,0.0
Camila Martinez,640,gemini,0.0
Camila Martinez,645,gemini,0.0
Camila Martinez,650,gemini,0.0
Camila Martinez,655,gemini,0.0
Camila Martinez,660,gemini,0.0
Camila Martinez,665,gemini,0.0
Camila Martinez,670,gemini,0.0
Camila Martinez,675,gemini,0.0
Camila Martinez,680,gemini,0.0
Camila Martinez,685,gemini,0.0
Camila Martinez,690,gemini,0.0
Camila Martinez,695,gemini,0.0
Camila Martinez,700,gemini,0.92
Fatima Rahman,580,gemini,0.0
Fatima Rahman,585,gemini,0.0
Fatima Rahman,590,gemini,0.0
Fatima Rahman,595,gemini,0.0
Fatima Rahman,600,gemini,0.0
Fatima Rahman,605,gemini,0.0
Fatima Rahman,610,gemini,0.0
Fatima Rahman,615,gemini,0.0
Fatima Rahman,620,gemini,0.0
Fatima Rahman,625,gemini,0.0
Fatima Rahman,630,gemini,0.0
Fatima Rahman,635,gemini,0.0
Fatima Rahman,640,gemini,0.0
Fatima Rahman,645,gemini,0.0
Fatima Rahman,650,gemini,0.0
Fatima Rahman,655,gemini,0.0
Fatima Rahman,660,gemini,0.0
Fatima Rahman,665,gemini,0.0
Fatima Rahman,670,gemini,0.0
Fatima Rahman,675,gemini,0.0
Fatima Rahman,680,gemini,0.0
Fatima Rahman,685,gemini,0.0
Fatima Rahman,690,gemini,0.0
Fatima Rahman,695,gemini,0.0
Fatima Rahman,700,gemini,1.0
Pihu Patel,580,gemini,0.0
Pihu Patel,585,gemini,0.0
Pihu Patel,590,gemini,0.0
Pihu Patel,595,gemini,0.0
Pihu Patel,600,gemini,0.0
Pihu Patel,605,gemini,0.0
Pihu Patel,610,gemini,0.0
Pihu Patel,615,gemini,0.0
Pihu Patel,620,gemini,0.0
Pihu Patel,625,gemini,0.0
Pihu Patel,630,gemini,0.0
Pihu Patel,635,gemini,0.0
Pihu Patel,640,gemini,0.0
Pihu Patel,650,gemini,0.0
Pihu Patel,645,gemini,0.0
Pihu Patel,655,gemini,0.0
Pihu Patel,660,gemini,0.0
Pihu Patel,665,gemini,0.0
Pihu Patel,670,gemini,0.0
Pihu Patel,675,gemini,0.0
Pihu Patel,680,gemini,0.0
Pihu Patel,685,gemini,0.0
Pihu Patel,690,gemini,0.0
Pihu Patel,695,gemini,0.0
Pihu Patel,700,gemini,0.88
Phillipa Brown,580,gemini,0.0
Phillipa Brown,585,gemini,0.0
Phillipa Brown,590,gemini,0.0
Phillipa Brown,595,gemini,0.0
Phillipa Brown,600,gemini,0.0
Phillipa Brown,605,gemini,0.0
Phillipa Brown,610,gemini,0.0
Phillipa Brown,615,gemini,0.0
Phillipa Brown,620,gemini,0.0
Phillipa Brown,625,gemini,0.0
Phillipa Brown,630,gemini,0.0
Phillipa Brown,635,gemini,0.0
Phillipa Brown,640,gemini,0.0
Phillipa Brown,645,gemini,0.0
Phillipa Brown,650,gemini,0.0
Phillipa Brown,655,gemini,0.0
Phillipa Brown,660,gemini,0.0
Phillipa Brown,665,gemini,0.0
Phillipa Brown,670,gemini,0.0
Phillipa Brown,675,gemini,0.0
Phillipa Brown,680,gemini,0.0
Phillipa Brown,685,gemini,0.04
Phillipa Brown,690,gemini,0.24
Phillipa Brown,695,gemini,0.0
Phillipa Brown,700,gemini,1.0
Amara Mensah,580,gemini,0.0
Amara Mensah,585,gemini,0.0
Amara Mensah,590,gemini,0.0
Amara Mensah,595,gemini,0.0
Amara Mensah,600,gemini,0.0
Amara Mensah,605,gemini,0.0
Amara Mensah,610,gemini,0.0
Amara Mensah,615,gemini,0.0
Amara Mensah,620,gemini,0.0
Amara Mensah,625,gemini,0.0
Amara Mensah,630,gemini,0.0
Amara Mensah,635,gemini,0.0
Amara Mensah,640,gemini,0.0
Amara Mensah,645,gemini,0.0
Amara Mensah,650,gemini,0.0
Amara Mensah,655,gemini,0.0
Amara Mensah,660,gemini,0.0
Amara Mensah,670,gemini,0.0
Amara Mensah,665,gemini,0.0
Amara Mensah,675,gemini,0.0
Amara Mensah,680,gemini,0.0
Amara Mensah,685,gemini,0.0
Amara Mensah,690,gemini,0.0
Amara Mensah,695,gemini,0.0
Amara Mensah,700,gemini,0.88
Latoya Washington,580,gemini,0.0
Latoya Washington,585,gemini,0.0
Latoya Washington,590,gemini,0.0
Latoya Washington,595,gemini,0.0
Latoya Washington,600,gemini,0.0
Latoya Washington,605,gemini,0.0
Latoya Washington,610,gemini,0.0
Latoya Washington,615,gemini,0.0
